component_test,OOS_Expectancy,OOS_Sharpe,OOS_MaxDrawdown,OOS_TradeCount,PctPositiveFolds,robust_score,delta_OOS_Expectancy,delta_OOS_Sharpe,delta_OOS_MaxDrawdown,delta_robust_score
contraction_exit_loose,0.0011992350241120065,0.3489771766482544,-0.005172223940901777,9.0,0.3333333333333333,1.0311025573390742,0.00021909543653233728,-0.19200926371376387,-0.0014271589823345865,0.15623679087416686
retest_entry_off,0.0009801395875796693,0.5409864403620183,-0.0037450649585671902,9.0,0.26666666666666666,0.8748657664649073,0.0,0.0,0.0,0.0
base,0.0009801395875796693,0.5409864403620183,-0.0037450649585671902,9.0,0.26666666666666666,0.8748657664649073,0.0,0.0,0.0,0.0
retest_entry_on,0.0009801395875796693,0.5409864403620183,-0.0037450649585671902,9.0,0.26666666666666666,0.8748657664649073,0.0,0.0,0.0,0.0
winner_extension_on,0.0009801395875796693,0.5409864403620183,-0.0037450649585671902,9.0,0.26666666666666666,0.8748657664649073,0.0,0.0,0.0,0.0
dynamic_cooldown_off,0.0009801395875796693,0.5409864403620183,-0.0037450649585671902,9.0,0.26666666666666666,0.8748657664649073,0.0,0.0,0.0,0.0
partial_tp_off,0.0009801395875796693,0.5409864403620183,-0.0037450649585671902,9.0,0.26666666666666666,0.8748657664649073,0.0,0.0,0.0,0.0
dynamic_cooldown_on,0.0009801395875796693,0.5409864403620183,-0.0037450649585671902,9.0,0.26666666666666666,0.8748657664649073,0.0,0.0,0.0,0.0
partial_tp_on,0.0008015656785856121,0.3869656819450377,-0.003523968716614645,9.0,0.26666666666666666,0.6378626525027316,-0.00017857390899405712,-0.15402075841698054,0.0002210962419525453,-0.23700311396217577
winner_extension_off,0.0006965758126790327,-0.024660643457761842,-0.00460930404968829,9.0,0.26666666666666666,0.43595379196603695,-0.0002835637749006365,-0.5656470838197801,-0.0008642390911210995,-0.43891197449887037
contraction_exit_tight,2.66968665212569e-05,-0.566502461485699,-0.003434102239059933,9.0,0.2,-0.4166476434421788,-0.0009534427210584124,-1.1074889018477174,0.0003109627195072573,-1.2915134099070862
