feature,bin,count,mean_return,median_return,win_rate
tsmom_24,0,17,0.00023314323912545295,-0.000767478412387129,0.47058823529411764
tsmom_24,1,17,0.000423262626024101,-0.00017327668248525146,0.47058823529411764
tsmom_24,2,17,1.241015296890167e-05,-0.00014753503685419934,0.4117647058823529
tsmom_24,3,17,0.00037094411308658177,0.000571490134286842,0.6470588235294118
tsmom_24,4,17,0.0004712221210659965,-0.0002548045560384713,0.4117647058823529
tsmom_24,5,16,0.0007577704510390245,0.0003295188203015596,0.5
tsmom_24,6,17,5.7755080733733445e-05,-0.00027634073218298343,0.4117647058823529
tsmom_24,7,17,0.0005740214063257612,0.0008360287497586162,0.6470588235294118
tsmom_24,8,17,0.0011498573787623772,0.00044805106696283153,0.8235294117647058
tsmom_24,9,17,0.0007332163271423814,0.0009831131248805606,0.6470588235294118
tsmom_48,0,17,6.626459744218321e-05,-0.0007267831265871748,0.35294117647058826
tsmom_48,1,17,-0.0003030375482258097,-0.0007204083408028426,0.29411764705882354
tsmom_48,2,17,0.0003210568164157258,0.000426403625331734,0.5294117647058824
tsmom_48,3,17,0.000498575873235666,0.000571490134286842,0.5882352941176471
tsmom_48,4,17,0.00020760410776383715,-0.000497217466096914,0.47058823529411764
tsmom_48,5,16,0.000733148462522611,0.0005147332499896554,0.5625
tsmom_48,6,17,0.0011784351953385973,0.001296833402567755,0.6470588235294118
tsmom_48,7,17,0.00107362223677475,0.0010492497056900111,0.7647058823529411
tsmom_48,8,17,0.0005821834566756529,0.0005718920193383017,0.6470588235294118
tsmom_48,9,17,0.0004243013460654265,0.00027708774385813446,0.5882352941176471
tsmom_72,0,17,-0.00027883415105739716,-0.0007204083408028426,0.29411764705882354
tsmom_72,1,17,0.0002157623285767441,-0.00014753503685419934,0.47058823529411764
tsmom_72,2,17,3.2231323453247764e-05,-0.00011085596950381239,0.47058823529411764
tsmom_72,3,17,0.000903411572106398,0.0007867151887362813,0.6470588235294118
tsmom_72,4,17,0.0007286073594814991,0.001066568080917099,0.5882352941176471
tsmom_72,5,16,0.0011923898228129366,0.0009818246917705801,0.625
tsmom_72,6,17,0.0007180348437885698,0.0004582634152831025,0.5882352941176471
tsmom_72,7,17,0.0007679362098250025,0.0007870809646612744,0.7058823529411765
tsmom_72,8,17,0.00021819466476928924,-0.00023258511604510636,0.4117647058823529
tsmom_72,9,17,0.0003114347679164868,0.00038115078417516677,0.6470588235294118
tsmom_avg,0,17,-4.1947950674703866e-05,-0.0007267831265871748,0.29411764705882354
tsmom_avg,1,17,0.00011867117883528992,-0.0002208395461041411,0.4117647058823529
tsmom_avg,2,17,0.00016856976141335056,0.0006144936782785946,0.5882352941176471
tsmom_avg,3,17,0.0005576425161340758,0.0006639601415218158,0.5882352941176471
tsmom_avg,4,17,7.126393661160038e-05,-0.00017327668248525146,0.47058823529411764
tsmom_avg,5,16,0.0011172398856712357,0.0007824815175267938,0.625
tsmom_avg,6,17,0.001096840658727111,0.0011796257858855434,0.6470588235294118
tsmom_avg,7,17,0.0008970082537934699,-0.00014767613204950448,0.47058823529411764
tsmom_avg,8,17,0.0007184146018639754,0.0006229478382705237,0.7647058823529411
tsmom_avg,9,17,0.00010104531475962489,0.00018151934389019648,0.5882352941176471
vr_6,0,17,8.131302971835015e-05,-0.0003718115076530369,0.4117647058823529
vr_6,1,17,0.0004712627616628747,0.00027708774385813446,0.5882352941176471
vr_6,2,17,0.000878705064404769,0.00038115078417516677,0.5294117647058824
vr_6,3,17,0.0002832976202488455,0.000541179426482131,0.5294117647058824
vr_6,4,17,0.00033467675873293467,-0.0002251442863035278,0.47058823529411764
vr_6,5,16,2.509280166993849e-05,-0.00033854532287012386,0.375
vr_6,6,17,0.0006443631650967724,0.0007485209998889268,0.7058823529411765
vr_6,7,17,0.00045351967903463895,-0.000497217466096914,0.47058823529411764
vr_6,8,17,0.0008289853577626854,0.0009846598492341567,0.7058823529411765
vr_6,9,17,0.0007392879726854972,0.0004582634152831025,0.6470588235294118
vr_12,0,17,9.89679121467606e-05,-0.0002548045560384713,0.4117647058823529
vr_12,1,17,0.0009879685416965506,-0.00014753503685419934,0.47058823529411764
vr_12,2,17,0.0005836278358312074,0.0007289342852949713,0.6470588235294118
vr_12,3,17,7.686641063901813e-05,-0.00013650189432614073,0.4117647058823529
vr_12,4,17,0.000367366401772258,0.000541179426482131,0.5882352941176471
vr_12,5,16,0.00035684638804446816,6.142872387532105e-05,0.5
vr_12,6,17,0.0001160937706414009,-0.00017327668248525146,0.47058823529411764
vr_12,7,17,0.0004376891538193754,0.0004582634152831025,0.5882352941176471
vr_12,8,17,0.0007651177202450862,0.0008067137726526237,0.7058823529411765
vr_12,9,17,0.0009694749930267415,0.0009594643163069764,0.6470588235294118
vr_24,0,17,0.0013285079905237041,0.0010264149551409722,0.5882352941176471
vr_24,1,17,0.0005594148114830929,0.0006144936782785946,0.5294117647058824
vr_24,2,17,0.00023068789622718576,0.00027708774385813446,0.5294117647058824
vr_24,3,17,0.0005654028203432438,0.0006639601415218158,0.5882352941176471
vr_24,4,17,0.0003301740273172025,0.0006229478382705237,0.5294117647058824
vr_24,5,16,-0.00012262384993352095,-0.0004727763135531852,0.375
vr_24,6,17,0.0005118982429045078,7.762925272925068e-05,0.5294117647058824
vr_24,7,17,7.534584690036085e-06,0.00044805106696283153,0.5294117647058824
vr_24,8,17,0.0002624325426879266,0.00030053221468433937,0.5294117647058824
vr_24,9,17,0.0010583859299737243,0.001114327059126871,0.7058823529411765
