symbol,fold_id,model,feature,importance,abs_importance,tree_text
GBPUSD,2,logistic_primary,adx_slope,-0.02434930553271037,0.02434930553271037,
GBPUSD,2,logistic_primary,trend_variance_ratio,0.017979886373958545,0.017979886373958545,
GBPUSD,2,logistic_primary,range_ratio,0.039206575892540986,0.039206575892540986,
GBPUSD,2,logistic_primary,atr_percentile,0.10003630043351554,0.10003630043351554,
GBPUSD,2,logistic_primary,atr_ratio,-0.4316888665978376,0.4316888665978376,
GBPUSD,2,logistic_primary,atr_expansion_recent,-0.4803071198130987,0.4803071198130987,
GBPUSD,2,logistic_primary,breakout_strength_atr_mult,-0.4616260482909093,0.4616260482909093,
GBPUSD,2,logistic_primary,breakout_velocity,0.4403445445003089,0.4403445445003089,
GBPUSD,2,logistic_primary,early_return_1,0.5183628546583127,0.5183628546583127,
GBPUSD,2,logistic_primary,early_return_3,0.3814145745255396,0.3814145745255396,
GBPUSD,2,logistic_primary,early_volatility,-0.3016131164733345,0.3016131164733345,
GBPUSD,2,logistic_primary,early_range_expansion,0.050049322475575336,0.050049322475575336,
GBPUSD,2,logistic_primary,early_mfe,0.9256249253881759,0.9256249253881759,
GBPUSD,2,logistic_primary,early_mae,-0.7865237240074021,0.7865237240074021,
GBPUSD,2,logistic_primary,early_slope,0.26909630847106353,0.26909630847106353,
GBPUSD,2,logistic_primary,volatility_spike_flag,0.0,0.0,
GBPUSD,2,tree_snapshot,__tree_text__,,,"|--- early_mfe <= 0.00
|   |--- class: 0
|--- early_mfe >  0.00
|   |--- class: 1
"
GBPUSD,4,logistic_primary,tsmom_24,0.2215203185077656,0.2215203185077656,
GBPUSD,4,logistic_primary,tsmom_48,0.16775977284104773,0.16775977284104773,
GBPUSD,4,logistic_primary,tsmom_72,-0.13357912629015867,0.13357912629015867,
GBPUSD,4,logistic_primary,tsmom_avg,0.12599938675375466,0.12599938675375466,
GBPUSD,4,logistic_primary,vr_6,0.2710505733377202,0.2710505733377202,
GBPUSD,4,logistic_primary,vr_12,-0.22251485014774472,0.22251485014774472,
GBPUSD,4,logistic_primary,vr_24,0.32954805765075224,0.32954805765075224,
GBPUSD,4,logistic_primary,ma_spread,0.18741430376944754,0.18741430376944754,
GBPUSD,4,logistic_primary,ma_slope,0.23276970782867354,0.23276970782867354,
GBPUSD,4,logistic_primary,adx_14,-0.03146608109338403,0.03146608109338403,
GBPUSD,4,logistic_primary,adx_slope,-0.07496251534743718,0.07496251534743718,
GBPUSD,4,logistic_primary,trend_variance_ratio,0.03835103180387942,0.03835103180387942,
GBPUSD,4,logistic_primary,range_ratio,0.19380352396544825,0.19380352396544825,
GBPUSD,4,logistic_primary,atr_percentile,0.32970038007175795,0.32970038007175795,
GBPUSD,4,logistic_primary,atr_ratio,0.2003978956111764,0.2003978956111764,
GBPUSD,4,logistic_primary,atr_expansion_recent,-0.04400358784791939,0.04400358784791939,
GBPUSD,4,logistic_primary,breakout_strength_atr_mult,-0.6070235142468287,0.6070235142468287,
GBPUSD,4,logistic_primary,breakout_velocity,0.044094333750725065,0.044094333750725065,
GBPUSD,4,logistic_primary,early_return_1,0.33118554811010165,0.33118554811010165,
GBPUSD,4,logistic_primary,early_return_3,0.286628018517663,0.286628018517663,
GBPUSD,4,logistic_primary,early_volatility,-0.12379707926015629,0.12379707926015629,
GBPUSD,4,logistic_primary,early_range_expansion,0.41184568895815243,0.41184568895815243,
GBPUSD,4,logistic_primary,early_mfe,0.9495323963353316,0.9495323963353316,
GBPUSD,4,logistic_primary,early_mae,-0.7826151990013488,0.7826151990013488,
GBPUSD,4,logistic_primary,early_slope,0.4338551261366793,0.4338551261366793,
GBPUSD,4,logistic_primary,volatility_spike_flag,0.0,0.0,
GBPUSD,4,tree_snapshot,__tree_text__,,,"|--- early_mfe <= 0.00
|   |--- class: 0
|--- early_mfe >  0.00
|   |--- class: 1
"
GBPUSD,5,logistic_primary,tsmom_24,-0.14147925041638743,0.14147925041638743,
GBPUSD,5,logistic_primary,tsmom_48,0.21323530510928912,0.21323530510928912,
GBPUSD,5,logistic_primary,tsmom_72,-0.0034592655556762333,0.0034592655556762333,
GBPUSD,5,logistic_primary,tsmom_avg,0.01549398426889739,0.01549398426889739,
GBPUSD,5,logistic_primary,vr_6,0.020285916106532475,0.020285916106532475,
GBPUSD,5,logistic_primary,vr_12,0.36862560432950375,0.36862560432950375,
GBPUSD,5,logistic_primary,vr_24,0.40296199981485503,0.40296199981485503,
GBPUSD,5,logistic_primary,ma_spread,0.10832953714970102,0.10832953714970102,
GBPUSD,5,logistic_primary,ma_slope,0.14021352261913778,0.14021352261913778,
GBPUSD,5,logistic_primary,adx_14,-0.16525126406442084,0.16525126406442084,
GBPUSD,5,logistic_primary,adx_slope,0.15597366527954865,0.15597366527954865,
GBPUSD,5,logistic_primary,trend_variance_ratio,-0.43797704700750245,0.43797704700750245,
GBPUSD,5,logistic_primary,range_ratio,-0.018313515775366516,0.018313515775366516,
GBPUSD,5,logistic_primary,atr_percentile,0.3402734776074558,0.3402734776074558,
GBPUSD,5,logistic_primary,atr_ratio,0.33622230483419807,0.33622230483419807,
GBPUSD,5,logistic_primary,atr_expansion_recent,0.02202876419160311,0.02202876419160311,
GBPUSD,5,logistic_primary,breakout_strength_atr_mult,-0.39359750859838294,0.39359750859838294,
GBPUSD,5,logistic_primary,breakout_velocity,-0.3670950107608229,0.3670950107608229,
GBPUSD,5,logistic_primary,early_return_1,0.32825377578645176,0.32825377578645176,
GBPUSD,5,logistic_primary,early_return_3,0.08348371462436802,0.08348371462436802,
GBPUSD,5,logistic_primary,early_volatility,0.036858101403196626,0.036858101403196626,
GBPUSD,5,logistic_primary,early_range_expansion,0.424393759459917,0.424393759459917,
GBPUSD,5,logistic_primary,early_mfe,1.166930021540264,1.166930021540264,
GBPUSD,5,logistic_primary,early_mae,-0.8874364675535477,0.8874364675535477,
GBPUSD,5,logistic_primary,early_slope,0.4542535186482436,0.4542535186482436,
GBPUSD,5,logistic_primary,volatility_spike_flag,0.0,0.0,
GBPUSD,5,tree_snapshot,__tree_text__,,,"|--- early_mfe <= 0.00
|   |--- class: 0
|--- early_mfe >  0.00
|   |--- class: 1
"
GBPUSD,6,logistic_primary,tsmom_24,-0.09105237703999636,0.09105237703999636,
GBPUSD,6,logistic_primary,tsmom_48,0.024414543508141172,0.024414543508141172,
GBPUSD,6,logistic_primary,tsmom_72,0.03846310494214776,0.03846310494214776,
GBPUSD,6,logistic_primary,tsmom_avg,-0.025897118471216184,0.025897118471216184,
GBPUSD,6,logistic_primary,vr_6,-0.17340565118643342,0.17340565118643342,
GBPUSD,6,logistic_primary,vr_12,0.418901177545238,0.418901177545238,
GBPUSD,6,logistic_primary,vr_24,0.16549431709940352,0.16549431709940352,
GBPUSD,6,logistic_primary,ma_spread,-0.006883149713271918,0.006883149713271918,
GBPUSD,6,logistic_primary,ma_slope,0.03445331229862164,0.03445331229862164,
GBPUSD,6,logistic_primary,adx_14,-0.1485313624008034,0.1485313624008034,
GBPUSD,6,logistic_primary,adx_slope,0.37757942993155513,0.37757942993155513,
GBPUSD,6,logistic_primary,trend_variance_ratio,-0.3453649291363742,0.3453649291363742,
GBPUSD,6,logistic_primary,range_ratio,-0.22438572468394916,0.22438572468394916,
GBPUSD,6,logistic_primary,atr_percentile,0.2594718345032313,0.2594718345032313,
GBPUSD,6,logistic_primary,atr_ratio,0.137930736001491,0.137930736001491,
GBPUSD,6,logistic_primary,atr_expansion_recent,0.3972734309635053,0.3972734309635053,
GBPUSD,6,logistic_primary,breakout_strength_atr_mult,-0.4658147837121334,0.4658147837121334,
GBPUSD,6,logistic_primary,breakout_velocity,-0.36413499415010175,0.36413499415010175,
GBPUSD,6,logistic_primary,early_return_1,-0.12838763173195455,0.12838763173195455,
GBPUSD,6,logistic_primary,early_return_3,0.11758145503167229,0.11758145503167229,
GBPUSD,6,logistic_primary,early_volatility,0.0775409061208629,0.0775409061208629,
GBPUSD,6,logistic_primary,early_range_expansion,0.6073404451779177,0.6073404451779177,
GBPUSD,6,logistic_primary,early_mfe,0.9881085728089066,0.9881085728089066,
GBPUSD,6,logistic_primary,early_mae,-0.7697443985246156,0.7697443985246156,
GBPUSD,6,logistic_primary,early_slope,0.7603492238739122,0.7603492238739122,
GBPUSD,6,logistic_primary,volatility_spike_flag,0.0,0.0,
GBPUSD,6,tree_snapshot,__tree_text__,,,"|--- early_mfe <= 0.00
|   |--- class: 0
|--- early_mfe >  0.00
|   |--- class: 1
"
GBPUSD,7,logistic_primary,tsmom_24,0.06628582030550675,0.06628582030550675,
GBPUSD,7,logistic_primary,tsmom_48,-0.21806266224354767,0.21806266224354767,
GBPUSD,7,logistic_primary,tsmom_72,0.1760956921978211,0.1760956921978211,
GBPUSD,7,logistic_primary,tsmom_avg,0.013155956406105384,0.013155956406105384,
GBPUSD,7,logistic_primary,vr_6,-0.06000624981029878,0.06000624981029878,
GBPUSD,7,logistic_primary,vr_12,0.7040573805430804,0.7040573805430804,
GBPUSD,7,logistic_primary,vr_24,0.5276807399098488,0.5276807399098488,
GBPUSD,7,logistic_primary,ma_spread,0.037790988060264374,0.037790988060264374,
GBPUSD,7,logistic_primary,ma_slope,0.046454194861762776,0.046454194861762776,
GBPUSD,7,logistic_primary,adx_14,-0.09283434935539259,0.09283434935539259,
GBPUSD,7,logistic_primary,adx_slope,0.6436954089159578,0.6436954089159578,
GBPUSD,7,logistic_primary,trend_variance_ratio,-0.33063764190182393,0.33063764190182393,
GBPUSD,7,logistic_primary,range_ratio,0.08632351070793344,0.08632351070793344,
GBPUSD,7,logistic_primary,atr_percentile,0.05996004944759553,0.05996004944759553,
GBPUSD,7,logistic_primary,atr_ratio,-0.10698342424040132,0.10698342424040132,
GBPUSD,7,logistic_primary,atr_expansion_recent,0.3656303955654338,0.3656303955654338,
GBPUSD,7,logistic_primary,breakout_strength_atr_mult,-0.46427133323888753,0.46427133323888753,
