symbol,fold_id,split,entry_time,follow_through_probability,actual_label,actual_return,allow_trade
AUDUSD,0,test,2020-04-08 00:00:00+00:00,0.5,0,0.0029060557308889625,1
AUDUSD,0,test,2020-04-15 03:00:00+00:00,0.5,0,-0.0012792438384800096,1
AUDUSD,0,test,2020-04-22 10:00:00+00:00,0.5,0,-0.0013318960197536032,1
AUDUSD,0,test,2020-04-26 05:00:00+00:00,0.5,1,0.000426403625331734,1
AUDUSD,2,test,2020-05-18 20:00:00+00:00,0.5,1,0.000247396567090258,1
AUDUSD,2,test,2020-05-21 20:00:00+00:00,0.5,0,-0.0012772470002602341,1
AUDUSD,2,test,2020-05-26 19:00:00+00:00,0.5,0,0.0029926299141301684,1
AUDUSD,2,test,2020-05-31 05:00:00+00:00,0.5,0,0.0032061960946881797,1
AUDUSD,2,test,2020-06-02 12:00:00+00:00,0.5,0,-0.0007568951102267128,1
AUDUSD,3,test,2020-06-09 00:00:00+00:00,0.5,0,-0.0007166377249612386,1
AUDUSD,3,test,2020-06-16 20:00:00+00:00,0.5,0,-0.0011804919193233619,1
AUDUSD,3,test,2020-06-19 04:00:00+00:00,0.5,0,-0.0013372122611567004,1
AUDUSD,4,test,2020-06-30 23:00:00+00:00,0.5,0,-0.0012536416975530594,1
AUDUSD,4,test,2020-07-05 05:00:00+00:00,0.5,1,0.004499641849289177,1
AUDUSD,4,test,2020-07-07 09:00:00+00:00,0.5,0,0.00018151934389019648,1
AUDUSD,4,test,2020-07-09 21:00:00+00:00,0.5,0,-0.000767478412387129,1
AUDUSD,4,test,2020-07-15 18:00:00+00:00,0.5,1,0.0012702665081441968,1
AUDUSD,5,test,2020-07-22 09:00:00+00:00,0.5,1,0.0019403806589636087,1
AUDUSD,5,test,2020-07-26 03:00:00+00:00,0.5,0,0.001320754103333083,1
AUDUSD,5,test,2020-07-30 15:00:00+00:00,0.5,0,-0.00027634073218298343,1
AUDUSD,5,test,2020-08-02 05:00:00+00:00,0.5,1,0.006396345630818684,1
