symbol,fold_id,fold_test_start,fold_test_end,entries_total,entries_allowed,entries_filtered,allowed_trade_pct,filtered_trade_pct,allowed_bar_pct,mean_adx_slope,mean_atr_ratio,mean_pct_recent_low_vol
EURUSD,13,2021-01-01 12:00:00+00:00,2021-01-22 07:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.052,0.15249837248861442,1.0018323740676882,0.252006502972588
EURUSD,14,2021-01-22 08:00:00+00:00,2021-02-12 03:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.078,-0.26009760598505327,1.001871138667221,0.253966792034622
GBPUSD,0,2020-04-05 16:00:00+00:00,2020-04-26 11:00:00+00:00,1.0,0.0,1.0,0.0,1.0,0.09,0.10010299405539713,1.0006586406913174,0.33523258582011745
GBPUSD,1,2020-04-26 12:00:00+00:00,2020-05-17 07:00:00+00:00,1.0,0.0,1.0,0.0,1.0,0.04,0.17872302237077495,1.0008807402572313,0.25423398648795026
GBPUSD,2,2020-05-17 08:00:00+00:00,2020-06-07 03:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.048,-0.32815742627500666,1.0013396883512438,0.2750374031617582
GBPUSD,3,2020-06-07 04:00:00+00:00,2020-06-27 23:00:00+00:00,1.0,0.0,1.0,0.0,1.0,0.064,0.04099221027484272,1.000582539504918,0.39048706791084126
GBPUSD,4,2020-06-28 00:00:00+00:00,2020-07-18 19:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.104,0.040696389916138026,0.9999559535046117,0.35353535353535354
GBPUSD,5,2020-07-18 20:00:00+00:00,2020-08-08 15:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.052,0.06622371967404067,1.00130219051547,0.27044303246901985
GBPUSD,6,2020-08-08 16:00:00+00:00,2020-08-29 11:00:00+00:00,1.0,0.0,1.0,0.0,1.0,0.05,0.16275750232552957,0.9993983183603524,0.3764226867252479
GBPUSD,7,2020-08-29 12:00:00+00:00,2020-09-19 07:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.048,-0.021119285980544456,1.0032741157665472,0.39436775739852953
GBPUSD,8,2020-09-19 08:00:00+00:00,2020-10-10 03:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.088,-0.2477702157962034,0.9975213693180791,0.29383838383838384
GBPUSD,9,2020-10-10 04:00:00+00:00,2020-10-30 23:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.066,-0.05444178389059856,1.0009366830936681,0.2616024625685476
GBPUSD,10,2020-10-31 00:00:00+00:00,2020-11-20 19:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.054,0.17227303856146675,1.0002857205492917,0.30960729297909145
GBPUSD,11,2020-11-20 20:00:00+00:00,2020-12-11 15:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.102,0.008312254821603944,1.003929701978313,0.2932480086844943
GBPUSD,12,2020-12-11 16:00:00+00:00,2021-01-01 11:00:00+00:00,1.0,0.0,1.0,0.0,1.0,0.054,-0.07257226691483899,0.9996607983731114,0.25773906404617536
GBPUSD,13,2021-01-01 12:00:00+00:00,2021-01-22 07:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.048,-0.10666909717809979,1.001449588191465,0.3778833542279926
GBPUSD,14,2021-01-22 08:00:00+00:00,2021-02-12 03:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.062,0.1641888363042093,1.0001348445912588,0.3574249171221214
