component_test,OOS_Expectancy,OOS_Sharpe,OOS_MaxDrawdown,OOS_TradeCount,PctPositiveFolds,robust_score,delta_OOS_Expectancy,delta_OOS_Sharpe,delta_OOS_MaxDrawdown,delta_robust_score
partial_tp_off,0.0012681194060196483,1.4819932621635095,-0.006106182286927719,12.0,0.4,1.3934930192754134,0.000502717858676215,0.5085253209958265,-2.220446049250313e-16,0.6450327517004584
winner_extension_on,0.0009058624503176932,1.2247998277452465,-0.006106182286927941,12.0,0.4,0.9532561555866126,0.00014046090297425984,0.25133188657756356,-4.440892098500626e-16,0.2047958880116576
contraction_exit_loose,0.0008871454831330096,0.8603979416050119,-0.008319417535971985,12.0,0.4,0.799216115467017,0.00012174393578957626,-0.11306999956267105,-0.0022132352490444873,0.050755847892062
retest_entry_on,0.0007654015473434334,0.973467941167683,-0.006106182286927497,12.0,0.4,0.748460267574955,0.0,0.0,0.0,0.0
retest_entry_off,0.0007654015473434334,0.973467941167683,-0.006106182286927497,12.0,0.4,0.748460267574955,0.0,0.0,0.0,0.0
base,0.0007654015473434334,0.973467941167683,-0.006106182286927497,12.0,0.4,0.748460267574955,0.0,0.0,0.0,0.0
winner_extension_off,0.0007654015473434334,0.973467941167683,-0.006106182286927497,12.0,0.4,0.748460267574955,0.0,0.0,0.0,0.0
partial_tp_on,0.0007654015473434334,0.973467941167683,-0.006106182286927497,12.0,0.4,0.748460267574955,0.0,0.0,0.0,0.0
dynamic_cooldown_off,0.0007654015473434334,0.973467941167683,-0.006106182286927497,12.0,0.4,0.748460267574955,0.0,0.0,0.0,0.0
dynamic_cooldown_on,0.0007654015473434334,0.973467941167683,-0.006106182286927497,12.0,0.4,0.748460267574955,0.0,0.0,0.0,0.0
contraction_exit_tight,0.00038970656049852224,0.26721615160245993,-0.007384300660815857,12.0,0.26666666666666666,0.13362747898397848,-0.0003756949868449111,-0.706251789565223,-0.0012781183738883595,-0.6148327885909766
